what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421431853946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1421431907563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421431910215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1421431913974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421431920214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432047766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1421432092444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432102974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432105907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432107561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432109635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1421432111024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432359993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432360040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421432544264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432546136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432588554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432592220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432613467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421432616884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421432618288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432625120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421432659263
