what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1421267954343
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1421267954343
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1421267954343
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1421267954343
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1421267954343
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1421267954343
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1421267954343
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1421267954359
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1421267954359
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1421267954359
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1421267954359
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1421267954359
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1421267954359
os,sysinfo,,,"win32",1421267954359
arch,sysinfo,,,"x86",1421267954359
ws,sysinfo,,,"win32",1421267954359
locale,sysinfo,,,"en_US",1421267954359
processors,sysinfo,,,"2",1421267954359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1421267954359
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1421267954359
java.specification.name,sysinfo,,,"Java Platform API Specification",1421267954359
java.specification.vendor,sysinfo,,,"Oracle Corporation",1421267954359
java.specification.version,sysinfo,,,"1.8",1421267954359
java.vendor,sysinfo,,,"Oracle Corporation",1421267954359
java.version,sysinfo,,,"1.8.0_25",1421267954359
java.vm.info,sysinfo,,,"mixed mode",1421267954359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1421267954359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1421267954359
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1421267954359
java.vm.specification.version,sysinfo,,,"1.8",1421267954359
java.vm.vendor,sysinfo,,,"Oracle Corporation",1421267954359
java.vm.version,sysinfo,,,"25.25-b02",1421267954359
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1421267954421
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1421267954671
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1421267955233
